"Date","Event"
"4/23/1866","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1866","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1866","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1866","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/22/1867","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1867","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1867","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1867","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/27/1868","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1868","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1868","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1868","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1868","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1868","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1869","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1869","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1869","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1869","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1870","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1870","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1870","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1870","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/24/1871","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1871","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1871","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1871","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/22/1872","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1872","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1872","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1872","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/28/1873","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1873","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1873","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1873","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1873","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/27/1874","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1874","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1874","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1874","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1874","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1874","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1875","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1875","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1875","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1875","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1876","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1876","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1876","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1876","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/23/1877","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1877","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1877","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1877","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/22/1878","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1878","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1878","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1878","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/28/1879","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1879","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1879","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1879","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1879","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/26/1880","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1880","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1880","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1880","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1881","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1881","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1881","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1881","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/24/1882","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1882","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1882","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1882","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/23/1883","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1883","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1883","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1883","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/28/1884","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1884","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1884","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1884","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1884","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/27/1885","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1885","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1885","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1885","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1885","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1885","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1886","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1886","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1886","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1886","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1887","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1887","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1887","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1887","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/23/1888","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1888","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1888","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1888","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/22/1889","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1889","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1889","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1889","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/28/1890","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1890","North America - United States - State holiday - Confederate Memorial Day - Monday"
